"","ID","is_self_employed","org_size","is_tech_company","is_tech_role","employee_health_importance","willingness_to_share","reaction_to_health_disorder","gender"
"1","0a66c16786c52547876e5bed497cd247",0,"26-100",0,1,9,0,6,"female"
"2","dcf2af9fcabd6556042ae916b419e190",0,"1-5",1,0,0,0,8,"male"
"3","6e6a5ac19349abf1d4b8e086799abcf9",0,"100-500",1,1,10,0,0,"male"
"4","b04f10afb8ad043c76b21f2faf777c6e",0,"26-100",0,1,5,0,0,"male"
"5","ce82f60aa6809b4ac131994477432d90",0,"6-25",1,1,0,0,5,"male"
"6","cc04a38f9ce557e31dda1382aa357be7",0,"6-25",0,1,0,0,1,"male"
"7","9a8118cb66cc2d79b4b8a5acfb1fe3f8",0,"6-25",1,1,2,0,6,"male"
"8","8823686151ce1a071fa6f49ef6399f6f",0,"6-25",1,1,5,0,3,"male"
"9","7045c9671c59988665860403baa14192",0,"6-25",0,1,4,0,7,"male"
"10","d3b1ad30f9a9063ec83aad314ab29323",0,"More than 1000",1,1,10,0,1,"male"
"11","b7a8c3373e6025b028df46318d582d4d",0,"More than 1000",0,1,6,0,2,"male"
"12","d49ff4f83c3cf548c9f24c86ea7f1053",1,"",1,0,4,1,2,"female"
"13","10bff84cfb0ccd01fbafbf29e862c304",0,"More than 1000",1,1,5,1,2,"female"
"14","e17658ae343db22eeef034d076cf2a8b",1,"",0,1,0,1,1,"male"
"15","828205607729cf4cfa430d12f6b3208e",1,"",1,1,2,1,1,"male"
"16","49a0af2c641a34d5ff56cb640db660cf",0,"100-500",0,1,3,1,3,"male"
"17","c52088f3b06a54df98655c3dc02f5fef",0,"500-1000",0,1,5,1,2,"male"
"18","9bd02e3961dd2c26d95243e1178e8790",0,"500-1000",0,1,5,1,3,"male"
"19","79bb9917440f273018fbe7d62264bea3",0,"More than 1000",0,1,7,1,2,"male"
"20","3e20f18e7f23b3c7b02acf73219e1627",0,"More than 1000",0,1,2,1,0,"male"
"21","47b9b894cce843f52265c850e3aa6748",0,"100-500",1,1,7,2,6,"female"
"22","33dc6ac5a89848c28a9dc3159053edcb",0,"26-100",1,1,9,2,8,"female"
"23","f2d064b671e534dfba6bfadc37146234",0,"6-25",1,1,3,2,7,"female"
"24","f242b41023fe50bf18c5f6f901b4c8bf",0,"6-25",1,1,7,2,3,"female"
"25","aae430d1f09e467fcb3d09dce56cb05e",0,"6-25",1,1,5,2,4,"female"
"26","5e319439440a08c217f3940320e2169c",0,"More than 1000",1,1,7,2,3,"female"
"27","cae95d3fb9bda2096ed0719b7731e678",1,"",1,1,1,2,5,"male"
"28","6fda9aabbe63d26aef47838fbf7a4992",0,"100-500",0,1,4,2,4,"male"
"29","e83b036ccc5ccb785483161865239125",0,"26-100",1,1,6,2,3,"male"
"30","804a1462d2ff2f78760b712d1d77cbf6",0,"500-1000",0,1,1,2,2,"male"
"31","d450e10f423a6df03ae98b37bc38b60c",0,"6-25",1,1,6,2,2,"male"
"32","61a40c9071eb36fa9caa254d31500c41",0,"6-25",0,1,3,2,9,"male"
"33","1827577b04d9d7bbb9e86c1ea03434e9",0,"6-25",1,1,5,2,3,"male"
