"ID","is_self_employed","org_size","is_tech_company","is_tech_role","employee_health_importance","willingness_to_share","reaction_to_health_disorder","gender"
"b7bd8db00348415e1e9df49129290e31",0,"100-500",0,1,8,8,9,"male"
"946b8317d9a0c579d802d36d6192c7cd",0,"100-500",0,1,5,8,5,"male"
"8d90918be530d5c0e25383cbb8e07868",0,"100-500",0,1,2,8,1,"male"
"7cf45fb3b9d4e59f861b9b25805ec2c1",0,"100-500",1,1,7,8,5,"male"
"7cee2847f3269b84ce139de7274c94b0",0,"100-500",0,1,6,8,7,"male"
"79ead2d26c80da3d032e44c5c457b79f",0,"100-500",1,1,6,8,5,"male"
"769d4f9f9310f38bd01e9125fc4a2fbf",0,"100-500",0,1,7,8,4,"male"
"4756e0e6306088e3a66fe91ae004e7e2",0,"100-500",1,1,5,8,5,"male"
"22997fa72f79f4317a37590df57fa284",0,"100-500",1,1,7,8,7,"male"
"1f3147f05bcb11bf168243414ee92729",0,"100-500",1,1,7,8,5,"male"
"0b4d5e7701fe13467df8016667d84755",0,"100-500",1,1,5,8,5,"male"
"03a8ee7f1d70e589bab1aa85fff99142",0,"100-500",1,1,7,8,5,"male"
"d788e2d03ffe13d80a3fca4607e02a36",0,"26-100",0,1,6,8,4,"male"
"c7001583699c208ccf02219865770f4d",0,"26-100",1,1,10,8,8,"male"
"a159dbf2eb078be79014c5c624cab149",0,"26-100",1,1,2,8,6,"male"
"497622210f4014f2b15740e935169e0c",0,"26-100",1,1,8,8,4,"male"
"e94a87bec9a25b6b35c9b26e0852a57f",0,"500-1000",0,1,8,8,NA,"male"
"739a4588732e14e25cc9cbdcfa00b12b",0,"500-1000",0,1,8,8,8,"male"
"2928c9f426e7fefba0d775e23a1c6a66",0,"500-1000",1,1,6,8,5,"male"
"c69d251378d09c58c7e80e916f67c082",0,"6-25",1,1,6,8,6,"male"
"ba4c785511454575bf8b23eea889db9e",0,"6-25",1,1,8,8,6,"male"
"9fd34bd1bcc489a5a9e9104789dfedf9",0,"6-25",1,1,3,8,5,"male"
"80fa32fdc2d68f7ee3b31548efddd5ed",0,"6-25",1,0,2,8,5,"male"
"730041159a09324f19cbd007c4d217d7",0,"6-25",1,1,7,8,5,"male"
"1c1620eb72327a7d0e19e470a81d24cf",0,"6-25",1,1,8,8,5,"male"
"f196b61612a05e0383eb6ed904b9b108",0,"More than 1000",1,1,6,8,NA,"male"
"cdff84cb044cdbb0e5b195cf716055f8",0,"More than 1000",1,1,10,8,2,"male"
"cd1ab05e325878b4a57d6b7da00656d3",0,"More than 1000",1,1,9,8,7,"male"
"bc516217ce889b4ff0d4790038e5040a",0,"More than 1000",0,1,1,8,0,"male"
"b65b169498e2b9daaae17c4bb2b777df",0,"More than 1000",0,1,6,8,5,"male"
"a578c6b69efb3a6e71680a91dcb2975a",0,"More than 1000",1,1,3,8,7,"male"
